epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9824.35,1.28611,1.28547,1.27902,0.5086,0.59468,0.58919,0.28692,1.80363,2.32456,1.77578,0.000990365,0.000990365,0.000990365
43,9971.74,1.23171,1.18608,1.25368,0.6027,0.68187,0.67453,0.32861,1.80651,1.9671,1.79903,0.000973861,0.000973861,0.000973861
44,10119.1,1.26177,1.34701,1.25319,0.63386,0.67136,0.78269,0.41417,1.81961,1.87806,1.83951,0.000957358,0.000957358,0.000957358
45,10266.2,1.34716,1.34722,1.25472,0.63442,0.77808,0.7781,0.41955,1.82822,1.7062,1.82367,0.000940855,0.000940855,0.000940855
46,12188,1.30328,1.28807,1.2459,0.66125,0.67707,0.73609,0.39025,1.83674,1.6406,1.83301,0.000924352,0.000924352,0.000924352
47,12335.6,1.23724,1.21968,1.22513,0.62771,0.70579,0.71948,0.35948,1.83062,1.96919,1.82682,0.000907848,0.000907848,0.000907848
48,12484,1.12044,1.25084,1.16518,0.67932,0.70167,0.66132,0.32504,1.8476,1.86804,1.88863,0.000891345,0.000891345,0.000891345
49,12630.6,1.20131,1.24267,1.1907,0.64408,0.66432,0.64514,0.3133,1.87953,1.80011,1.92336,0.000874842,0.000874842,0.000874842
50,14573.2,1.18083,1.11933,1.18862,0.62609,0.64876,0.62223,0.31713,1.80626,2.02083,1.83027,0.000858338,0.000858338,0.000858338
51,14699.9,1.19618,1.24749,1.16971,0.65266,0.64319,0.68745,0.36359,1.77151,1.9063,1.80155,0.000841835,0.000841835,0.000841835
52,14847.9,1.21171,1.08355,1.18071,0.60439,0.68799,0.69664,0.38052,1.72052,2.04178,1.71209,0.000825332,0.000825332,0.000825332
53,14995.8,1.23633,1.15966,1.1914,0.58067,0.68154,0.63349,0.32215,1.77052,2.23143,1.73922,0.000808828,0.000808828,0.000808828
54,15143.9,1.11891,1.06096,1.18605,0.5349,0.77134,0.61473,0.3133,1.80479,2.40208,1.77848,0.000792325,0.000792325,0.000792325
55,16988.2,1.19563,1.08744,1.21566,0.58439,0.62745,0.6047,0.29096,1.86562,2.28803,1.84238,0.000775822,0.000775822,0.000775822
56,17135.9,1.22277,1.13327,1.22518,0.61286,0.57259,0.60714,0.31135,1.90074,1.99086,1.87538,0.000759318,0.000759318,0.000759318
57,17282.9,1.15619,1.11974,1.19286,0.5369,0.58563,0.54493,0.26382,1.86476,2.26385,1.85346,0.000742815,0.000742815,0.000742815
58,17517.6,1.19884,1.23901,1.20518,0.52748,0.63615,0.57656,0.28675,1.85456,2.11466,1.84866,0.000726312,0.000726312,0.000726312
